side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
LONG,2025-12-28 16:45:00+00:00,2025-12-28 17:55:00+00:00,2943.72,2944.6,22890.19450055004,-20.629510581305542,TRAIL
LONG,2025-12-28 18:20:00+00:00,2025-12-28 22:20:00+00:00,2932.64,2938.75,25656.377629305745,22.633977537544226,TIME
SHORT,2025-12-28 22:55:00+00:00,2025-12-28 23:45:00+00:00,2949.26,2950.87,22867.663515589164,-39.9321357842411,STOP
SHORT,2025-12-29 00:40:00+00:00,2025-12-29 01:35:00+00:00,2967.45,2973.42,14077.926701012597,-45.23287733414064,STOP
SHORT,2025-12-29 01:50:00+00:00,2025-12-29 02:05:00+00:00,2979.1,3004.05,32604.73153169356,-312.35455385655894,STOP
SHORT,2025-12-29 02:15:00+00:00,2025-12-29 03:35:00+00:00,3003.5,3030.34,15261.858932373969,-154.7797112319723,STOP
SHORT,2025-12-29 03:50:00+00:00,2025-12-29 07:50:00+00:00,3038.55,3019.44,11437.126053057977,58.2487968666109,TIME
LONG,2025-12-29 09:50:00+00:00,2025-12-29 12:05:00+00:00,2967.05,2937.24,18326.810752374804,-206.01146317136,STOP
LONG,2025-12-29 12:20:00+00:00,2025-12-29 14:50:00+00:00,2929.69,2934.94,5174.719305475231,3.057862062355893,TRAIL
SHORT,2025-12-30 08:20:00+00:00,2025-12-30 12:20:00+00:00,2977.1,2983.06,8895.345305393803,-28.493119742496035,TIME
LONG,2025-12-30 14:05:00+00:00,2025-12-30 14:30:00+00:00,2969.13,2967.51,12683.681971737838,-22.13666529880219,STOP
SHORT,2025-12-30 14:55:00+00:00,2025-12-30 16:15:00+00:00,2995.2,2990.99,7557.584277154782,1.560078977158522,TRAIL
SHORT,2025-12-31 11:45:00+00:00,2025-12-31 13:15:00+00:00,2997.28,2993.19,21034.117645676022,3.4788177050800364,TRAIL
SHORT,2025-12-31 14:10:00+00:00,2025-12-31 18:00:00+00:00,3014.11,2975.92,8426.993117377018,96.725103663403,TRAIL
SHORT,2026-01-01 23:35:00+00:00,2026-01-02 02:45:00+00:00,3003.86,2999.39,21805.266706480572,6.301246317926278,TRAIL
SHORT,2026-01-02 03:15:00+00:00,2026-01-02 03:35:00+00:00,3012.9,3018.91,43837.52012287296,-140.10264240096382,STOP
SHORT,2026-01-02 14:55:00+00:00,2026-01-02 16:30:00+00:00,3081.29,3137.66,7442.900968652648,-145.175736457896,STOP
SHORT,2026-01-02 16:35:00+00:00,2026-01-02 19:30:00+00:00,3132.35,3120.69,7307.432432736742,18.448915921333587,TRAIL
LONG,2026-01-04 00:00:00+00:00,2026-01-04 01:40:00+00:00,3132.38,3145.2,13195.397235066,38.1383789605983,TRAIL
SHORT,2026-01-05 00:50:00+00:00,2026-01-05 01:05:00+00:00,3164.4,3188.88,18514.357167174574,-165.53141212055175,STOP
SHORT,2026-01-05 01:15:00+00:00,2026-01-05 01:35:00+00:00,3181.77,3208.68,14145.60039822294,-136.68371942505948,STOP
SHORT,2026-01-05 01:45:00+00:00,2026-01-05 05:45:00+00:00,3205.84,3154.52,6735.825890602509,99.8107261026097,TIME
SHORT,2026-01-05 15:50:00+00:00,2026-01-05 17:35:00+00:00,3188.1,3179.29,6249.790543769135,9.78129368724684,TRAIL
SHORT,2026-01-05 18:00:00+00:00,2026-01-05 20:00:00+00:00,3207.23,3236.15,9967.76220049828,-101.89581994521097,STOP
SHORT,2026-01-06 14:30:00+00:00,2026-01-06 18:25:00+00:00,3293.25,3219.27,7508.600070185781,159.76506135728914,TRAIL
SHORT,2026-01-06 21:20:00+00:00,2026-01-06 21:30:00+00:00,3281.14,3297.99,27851.5461753186,-176.5367886914823,STOP
SHORT,2026-01-06 21:35:00+00:00,2026-01-06 23:05:00+00:00,3287.08,3286.0,8507.528402782506,-7.412131192807139,TRAIL
LONG,2026-01-07 15:20:00+00:00,2026-01-07 17:45:00+00:00,3156.22,3158.21,7265.313411709634,-4.140336887313655,TRAIL
SHORT,2026-01-07 23:30:00+00:00,2026-01-08 03:30:00+00:00,3167.0,3153.0,7533.12241658366,24.281058929108305,TIME
LONG,2026-01-08 06:25:00+00:00,2026-01-08 06:55:00+00:00,3116.64,3103.99,38185.41973645855,-200.71871637767845,STOP
SHORT,2026-01-08 15:10:00+00:00,2026-01-08 15:20:00+00:00,3083.71,3101.12,23644.568752876487,-161.94600817959147,STOP
SHORT,2026-01-08 15:30:00+00:00,2026-01-08 16:45:00+00:00,3094.73,3115.84,14784.901379897536,-118.65425000158623,STOP
SHORT,2026-01-08 17:05:00+00:00,2026-01-08 17:50:00+00:00,3123.55,3132.81,15706.967219226377,-65.44079054570601,STOP
LONG,2026-01-09 01:55:00+00:00,2026-01-09 05:55:00+00:00,3104.31,3117.47,7417.711451534659,22.525540764046585,TIME
LONG,2026-01-09 08:55:00+00:00,2026-01-09 11:45:00+00:00,3081.56,3092.5,6211.485332165915,14.584690759208996,TRAIL
SHORT,2026-01-09 15:35:00+00:00,2026-01-09 16:10:00+00:00,3125.35,3141.93,5369.299111493988,-34.94441257134732,STOP
SHORT,2026-01-10 22:40:00+00:00,2026-01-10 23:05:00+00:00,3086.51,3084.71,18114.24448906305,-11.166836538731648,TRAIL
LONG,2026-01-11 06:20:00+00:00,2026-01-11 07:35:00+00:00,3092.11,3092.3,18026.35920158405,-20.52463509306561,TRAIL
SHORT,2026-01-11 14:10:00+00:00,2026-01-11 14:30:00+00:00,3112.58,3114.27,35839.7370837568,-62.47882971282524,STOP
SHORT,2026-01-11 15:00:00+00:00,2026-01-11 16:25:00+00:00,3122.01,3122.49,12821.157115025604,-17.357787059642064,TRAIL
SHORT,2026-01-11 16:40:00+00:00,2026-01-11 18:50:00+00:00,3135.23,3129.81,8325.910522533746,4.410884546293772,TRAIL
