entry_ts,exit_ts,side,entry,exit,qty,notional,pnl,reason
2025-11-25 08:03:00+00:00,2025-11-25 08:51:00+00:00,LONG,2899.39,2887.71,9.84487941330204,28429.156730586434,-143.41734827795264,STOP
2025-11-25 08:53:00+00:00,2025-11-25 08:57:00+00:00,LONG,2882.82,2869.83,9.89571977626193,28399.03348550977,-156.94443337915456,STOP
2025-11-25 09:04:00+00:00,2025-11-25 10:02:00+00:00,LONG,2873.46,2884.99,7.365086537605578,21248.201010126715,63.67124676846372,TRAIL
2025-11-25 15:00:00+00:00,2025-11-25 15:14:00+00:00,LONG,2872.56,2875.65,4.898383895408318,14086.03764883093,1.0499685879814837,TRAIL
2025-11-25 19:31:00+00:00,2025-11-25 19:53:00+00:00,LONG,2883.59,2918.26,2.9712533219090487,8670.889719194302,94.34246295139263,EMA
2025-11-25 23:11:00+00:00,2025-11-25 23:34:00+00:00,SHORT,2977.36,2967.36,7.298744938644179,21658.003781135194,51.3294456053066,TRAIL
2025-11-26 03:46:00+00:00,2025-11-26 03:54:00+00:00,LONG,2933.1,2921.87,11.4355153458224,33413.08922349809,-161.83392655708388,STOP
2025-11-26 04:05:00+00:00,2025-11-26 04:11:00+00:00,LONG,2929.11,2919.8,11.96540366058262,34936.58560816914,-146.33449368819268,STOP
2025-11-26 08:42:00+00:00,2025-11-26 08:55:00+00:00,LONG,2920.16,2912.2,12.578246768272855,36630.37023856421,-136.75321451401658,STOP
2025-11-26 09:00:00+00:00,2025-11-26 09:33:00+00:00,LONG,2911.31,2904.55,14.631521697978183,42497.986347862534,-141.4070730261916,STOP
2025-11-26 12:06:00+00:00,2025-11-26 13:06:00+00:00,LONG,2897.19,2903.75,8.688354172560736,25228.808428573237,31.766794943424713,TIME
2025-11-26 13:40:00+00:00,2025-11-26 13:57:00+00:00,SHORT,2929.84,2929.98,8.531485489554097,24997.081854683714,-26.191489823220202,TRAIL
2025-11-26 17:35:00+00:00,2025-11-26 17:47:00+00:00,SHORT,3007.42,3027.87,4.181368556593915,12660.640411454016,-98.1696273937988,STOP
2025-11-26 17:48:00+00:00,2025-11-26 17:56:00+00:00,SHORT,3027.92,3027.96,5.158176941802331,15618.753452699788,-15.825080530371695,TRAIL
2025-11-26 17:58:00+00:00,2025-11-26 18:48:00+00:00,SHORT,3031.09,3025.0,4.647191097856791,14057.753071016794,14.243640714931743,TRAIL
2025-11-27 00:49:00+00:00,2025-11-27 01:03:00+00:00,SHORT,3043.42,3045.55,7.951400504599504,24216.38780678302,-41.152870881580824,TRAIL
2025-11-27 01:05:00+00:00,2025-11-27 01:41:00+00:00,SHORT,3046.24,3033.86,2.9724055827392375,9017.862401249264,27.780518713061472,TRAIL
2025-11-27 02:24:00+00:00,2025-11-27 02:30:00+00:00,SHORT,3056.74,3067.48,8.022633103441239,24609.26659214393,-110.77234612310473,STOP
2025-11-27 02:31:00+00:00,2025-11-27 02:54:00+00:00,SHORT,3068.96,3038.24,2.727705358863923,8287.423529514725,75.50768509478569,EMA
2025-11-27 09:19:00+00:00,2025-11-27 09:31:00+00:00,SHORT,3036.23,3034.45,7.2364144361306995,21958.5377857168,-9.077720089402707,TRAIL
2025-11-27 09:34:00+00:00,2025-11-27 09:51:00+00:00,SHORT,3037.88,3029.0,11.616838948206842,35187.405174118525,67.9701246859595,EMA
2025-11-27 12:47:00+00:00,2025-11-27 12:54:00+00:00,LONG,3006.7,2995.07,13.92736578101518,41713.435429745135,-203.6886994629469,STOP
2025-11-27 12:56:00+00:00,2025-11-27 13:16:00+00:00,LONG,2991.25,2988.16,9.954754670444435,29746.39971603524,-60.506591647709996,TRAIL
2025-11-27 22:40:00+00:00,2025-11-27 22:41:00+00:00,LONG,3023.64,3017.63,16.911756830048255,51033.424763058516,-152.67308331164452,STOP
2025-11-27 22:48:00+00:00,2025-11-27 23:21:00+00:00,LONG,3010.0,3015.35,7.479619761422404,22553.671447605044,17.462294276004133,TRAIL
2025-11-28 01:19:00+00:00,2025-11-28 01:46:00+00:00,LONG,2994.76,2998.71,7.031409830099833,21085.15897161867,6.688909857274393,TRAIL
2025-11-28 08:45:00+00:00,2025-11-28 08:50:00+00:00,SHORT,3022.82,3045.86,11.945915040807717,36385.584786194595,-311.619467326404,STOP
2025-11-28 08:54:00+00:00,2025-11-28 09:54:00+00:00,SHORT,3060.23,3053.95,3.5943780275086006,10977.050777109891,11.59564323564484,TIME
2025-11-28 16:27:00+00:00,2025-11-28 17:27:00+00:00,LONG,3027.75,3019.26,4.518353335786135,13642.083492605647,-52.002903313428945,TIME
2025-11-29 02:37:00+00:00,2025-11-29 03:06:00+00:00,LONG,3022.75,3033.79,3.7680895947506894,11431.592531658694,30.168116594388778,EMA
2025-11-29 03:29:00+00:00,2025-11-29 03:31:00+00:00,LONG,3023.26,3018.96,15.994720430784856,48287.42119172225,-117.06471904410003,STOP
2025-11-29 03:32:00+00:00,2025-11-29 04:07:00+00:00,LONG,3017.07,3019.57,11.457005072448037,34595.22880661192,-5.9527161254918255,TRAIL
2025-11-29 04:20:00+00:00,2025-11-29 04:28:00+00:00,LONG,3018.81,3028.09,6.00263898741801,18176.5310914106,37.527958711829726,EMA
2025-11-29 04:33:00+00:00,2025-11-29 04:59:00+00:00,SHORT,3029.79,3039.18,14.16691784367368,43055.813372136174,-176.08317192423021,STOP
2025-11-29 05:00:00+00:00,2025-11-29 05:21:00+00:00,SHORT,3038.29,3038.47,14.022880474450838,42608.101635204635,-45.13222012060349,TRAIL
2025-11-29 05:25:00+00:00,2025-11-29 05:35:00+00:00,SHORT,3037.92,3040.01,13.63718518740608,41457.17934156636,-69.95889638324707,TRAIL
2025-11-29 06:26:00+00:00,2025-11-29 06:34:00+00:00,LONG,3014.56,2996.21,6.265485816256846,18772.711257526924,-133.7443759858395,STOP
2025-11-29 06:38:00+00:00,2025-11-29 07:22:00+00:00,LONG,3002.0,3006.65,4.071662456360652,12242.063924416756,6.691166497660648,TRAIL
2025-11-29 13:37:00+00:00,2025-11-29 13:38:00+00:00,SHORT,2997.48,2997.04,12.472277936080197,37379.91586554979,-31.892113573673825,EMA
2025-11-29 14:38:00+00:00,2025-11-29 14:41:00+00:00,LONG,2992.42,2989.11,12.146102789454334,36306.03730898585,-76.50963754207903,STOP
2025-11-29 14:45:00+00:00,2025-11-29 14:52:00+00:00,LONG,2989.0,2988.75,11.313747576255462,33813.963068533514,-36.64239996259738,TRAIL
2025-11-29 15:02:00+00:00,2025-11-29 15:15:00+00:00,LONG,2990.32,2996.01,10.434857638291717,31262.93783289837,28.111402128982068,EMA
2025-11-29 15:20:00+00:00,2025-11-29 16:20:00+00:00,SHORT,3003.68,3009.98,4.752564134922674,14305.122994834552,-44.24627704484826,TIME
2025-11-29 18:04:00+00:00,2025-11-29 18:36:00+00:00,LONG,2970.32,2987.37,1.7748508705462007,5302.136245143603,24.959071097668634,EMA
2025-11-30 01:06:00+00:00,2025-11-30 02:06:00+00:00,SHORT,3005.64,3008.38,9.263485594256947,27868.084792050715,-53.25003532031694,TIME
2025-11-30 02:48:00+00:00,2025-11-30 02:53:00+00:00,LONG,2996.47,2990.64,8.39913628159404,25118.792929186395,-74.08575745087903,STOP
2025-11-30 02:54:00+00:00,2025-11-30 03:18:00+00:00,LONG,2990.28,2985.18,9.718816720501284,29012.417297706023,-78.57838257226611,STOP
2025-11-30 03:23:00+00:00,2025-11-30 03:42:00+00:00,LONG,2984.7,2996.2,4.479504340339781,13421.49090452605,38.092809009381426,EMA
2025-11-30 12:51:00+00:00,2025-11-30 13:19:00+00:00,SHORT,3024.8,3036.14,3.9664645274507477,12042.741610374313,-57.02244935166457,STOP
