ts,equity,pos,entry_px,stop_px,trail_px,size_notional,funding_pnl,close
2025-12-17 07:15:00+00:00,1000.0,0,,,,0.0,0.0,2937.0
2025-12-17 07:30:00+00:00,1000.0,0,,,,0.0,0.0,2948.46
2025-12-17 07:45:00+00:00,1000.0,0,,,,0.0,0.0,2946.59
2025-12-17 08:00:00+00:00,1000.0,0,,,,0.0,0.0,2941.75
2025-12-17 08:15:00+00:00,1000.0,0,,,,0.0,0.0,2928.35
2025-12-17 08:30:00+00:00,1000.0,0,,,,0.0,0.0,2925.7
2025-12-17 08:45:00+00:00,1000.0,0,,,,0.0,0.0,2924.43
2025-12-17 09:00:00+00:00,1000.0,0,,,,0.0,0.0,2926.39
2025-12-17 09:15:00+00:00,1000.0,0,,,,0.0,0.0,2921.36
2025-12-17 09:30:00+00:00,1000.0,0,,,,0.0,0.0,2926.73
2025-12-17 09:45:00+00:00,1000.0,0,,,,0.0,0.0,2922.16
2025-12-17 10:00:00+00:00,1000.0,0,,,,0.0,0.0,2924.05
2025-12-17 10:15:00+00:00,1000.0,0,,,,0.0,0.0,2918.45
2025-12-17 10:30:00+00:00,1000.0,0,,,,0.0,0.0,2922.71
2025-12-17 10:45:00+00:00,1000.0,0,,,,0.0,0.0,2919.01
2025-12-17 11:00:00+00:00,1000.0,0,,,,0.0,0.0,2926.55
2025-12-17 11:15:00+00:00,1000.0,0,,,,0.0,0.0,2926.92
2025-12-17 11:30:00+00:00,1000.0,0,,,,0.0,0.0,2929.94
2025-12-17 11:45:00+00:00,1000.0,0,,,,0.0,0.0,2927.36
2025-12-17 12:00:00+00:00,1000.0,0,,,,0.0,0.0,2932.5
2025-12-17 12:15:00+00:00,1000.0,0,,,,0.0,0.0,2924.62
2025-12-17 12:30:00+00:00,1000.0,0,,,,0.0,0.0,2919.6
2025-12-17 12:45:00+00:00,1000.0,0,,,,0.0,0.0,2924.07
2025-12-17 13:00:00+00:00,1000.0,0,,,,0.0,0.0,2921.18
2025-12-17 13:15:00+00:00,1000.0,0,,,,0.0,0.0,2925.5
2025-12-17 13:30:00+00:00,1000.0,0,,,,0.0,0.0,2932.0
2025-12-17 13:45:00+00:00,1000.0,0,,,,0.0,0.0,2943.24
2025-12-17 14:00:00+00:00,1000.0,0,,,,0.0,0.0,2940.07
2025-12-17 14:15:00+00:00,1000.0,0,,,,0.0,0.0,2940.5
2025-12-17 14:30:00+00:00,1000.0,0,,,,0.0,0.0,2925.86
2025-12-17 14:45:00+00:00,1000.0,0,,,,0.0,0.0,2993.94
2025-12-17 15:00:00+00:00,1000.0,0,,,,0.0,0.0,3019.31
2025-12-17 15:15:00+00:00,1000.0,0,,,,0.0,0.0,3012.2
2025-12-17 15:30:00+00:00,1000.0,0,,,,0.0,0.0,2951.32
2025-12-17 15:45:00+00:00,1000.0,0,,,,0.0,0.0,2903.23
2025-12-17 16:00:00+00:00,1000.0,0,,,,0.0,0.0,2876.27
2025-12-17 16:15:00+00:00,1000.0,0,,,,0.0,0.0,2847.04
2025-12-17 16:30:00+00:00,1000.0,0,,,,0.0,0.0,2845.51
2025-12-17 16:45:00+00:00,1000.0,0,,,,0.0,0.0,2862.68
2025-12-17 17:00:00+00:00,1000.0,0,,,,0.0,0.0,2854.73
2025-12-17 17:15:00+00:00,1000.0,0,,,,0.0,0.0,2864.28
2025-12-17 17:30:00+00:00,1000.0,0,,,,0.0,0.0,2846.72
2025-12-17 17:45:00+00:00,1000.0,0,,,,0.0,0.0,2846.33
2025-12-17 18:00:00+00:00,1000.0,0,,,,0.0,0.0,2851.18
2025-12-17 18:15:00+00:00,1000.0,0,,,,0.0,0.0,2848.56
2025-12-17 18:30:00+00:00,1000.0,0,,,,0.0,0.0,2824.43
2025-12-17 18:45:00+00:00,1000.0,0,,,,0.0,0.0,2812.56
2025-12-17 19:00:00+00:00,1000.0,0,,,,0.0,0.0,2798.1
2025-12-17 19:15:00+00:00,1000.0,0,,,,0.0,0.0,2803.52
2025-12-17 19:30:00+00:00,1000.0,0,,,,0.0,0.0,2806.23
2025-12-17 19:45:00+00:00,1000.0,0,,,,0.0,0.0,2819.01
2025-12-17 20:00:00+00:00,1000.0,0,,,,0.0,0.0,2805.75
2025-12-17 20:15:00+00:00,1000.0,0,,,,0.0,0.0,2829.18
2025-12-17 20:30:00+00:00,1000.0,0,,,,0.0,0.0,2826.33
2025-12-17 20:45:00+00:00,1000.0,0,,,,0.0,0.0,2821.63
2025-12-17 21:00:00+00:00,1000.0,0,,,,0.0,0.0,2824.64
2025-12-17 21:15:00+00:00,1000.0,0,,,,0.0,0.0,2818.99
2025-12-17 21:30:00+00:00,1000.0,0,,,,0.0,0.0,2816.85
2025-12-17 21:45:00+00:00,1000.0,0,,,,0.0,0.0,2818.54
2025-12-17 22:00:00+00:00,1000.0,0,,,,0.0,0.0,2823.41
2025-12-17 22:15:00+00:00,1000.0,0,,,,0.0,0.0,2830.88
2025-12-17 22:30:00+00:00,1000.0,0,,,,0.0,0.0,2828.98
2025-12-17 22:45:00+00:00,1000.0,0,,,,0.0,0.0,2833.5
2025-12-17 23:00:00+00:00,1000.0,0,,,,0.0,0.0,2820.47
2025-12-17 23:15:00+00:00,1000.0,0,,,,0.0,0.0,2824.1
2025-12-17 23:30:00+00:00,1000.0,0,,,,0.0,0.0,2826.81
2025-12-17 23:45:00+00:00,1000.0,0,,,,0.0,0.0,2832.0
2025-12-18 00:00:00+00:00,1000.0,0,,,,0.0,0.0,2830.39
